"Holberg, Ludvig",Værker i tolv bind, 3-7: Komedier,"Rosenkilde og Bagger, [København], 1969-1971",001629300:03,texts/holb03val.xml,https://tekster.kb.dk/text/adl-texts-holb03val-root,,,
"Kidde, Harald", Livet. - 1903,", København, 1902-03",001867237:02,texts/kidde02val.xml,https://tekster.kb.dk/text/adl-texts-kidde02val-root,,,,
"Hjortø, Knud",Under det svindende Lys,"Nyt Nordisk Forlag Arnold Busck, København, 1933",003015628:16,texts/hjort_16.xml,https://tekster.kb.dk/text/adl-texts-hjort_16-root,,,,
"Brahe, Tycho",Tychonis Brahe Dani opera omnia,", Hauniæ, 1913-29",001573955:07,texts/tycho07tom.xml,https://tekster.kb.dk/text/adl-texts-tycho07tom-root,,,,
"Andersen, H. C.",De to Baronesser,"Det Danske Sprog- og Litteraturselskab, [København], 1997",001780363:02,texts/andersen02val.xml,https://tekster.kb.dk/text/adl-texts-andersen02val-root,,,,
"Drachmann, Holger",Samlede poetiske Skrifter,", Kbh. & Kristiania, 1906-1909",001823907:10,texts/drachmann10tom.xml,https://tekster.kb.dk/text/adl-texts-drachmann10tom-root,,,,
"Andersen, H. C.",Kun en Spillemand,"Det Danske Sprog- og Litteraturselskab, [København], cop. 1988",001442770:05,texts/andersen05val.xml,https://tekster.kb.dk/text/adl-texts-andersen05val-root,,,,
"Wessel, Johan Herman",J.H. Wessels Samlede Digte,", København, 1901",005412565:00,texts/wesselhhl.xml,https://tekster.kb.dk/text/adl-texts-wesselhhl-root,,,,
"Andersen, H. C.",I Spanien,"Det Danske Sprog- og Litteraturselskab, [København], [2005]",005047271:09,texts/andersenhc_09.xml,https://tekster.kb.dk/text/adl-texts-andersenhc_09-root,,,,
"Andersen, H. C.",I Sverrig,"Det Danske Sprog- og Litteraturselskab, [København], 2003",003210052:10,texts/andersenhc_10.xml,https://tekster.kb.dk/text/adl-texts-andersenhc_10-root,,,,
"Brandes, Edvard",Gyngende Grund,", København, 1882",002143496:09,texts/brandesed_09.xml,https://tekster.kb.dk/text/adl-texts-brandesed_09-root,,,,
"Aakjær, Jeppe",Bondens Søn , Vadmelsfolk , Vredens Børn. - 1919,"Gyldendal, København, 1918-19",002251515:06,texts/aakjaer06val.xml,https://tekster.kb.dk/text/adl-texts-aakjaer06val-root,,
"Drachmann, Holger",Samlede poetiske Skrifter,", Kbh. & Kristiania, 1906-1909",001823907:09,texts/drachmann09tom.xml,https://tekster.kb.dk/text/adl-texts-drachmann09tom-root,,,,
"Oehlenschläger, Adam",Poetiske Skrifter II,", København, 1926-1930",001823141:02,texts/oehl02val.xml,https://tekster.kb.dk/text/adl-texts-oehl02val-root,,,,
"Sibbern, F. C.",Gabrielis' Breve,", København, 1927",002014388:02,texts/sibbern02val.xml,https://tekster.kb.dk/text/adl-texts-sibbern02val-root,,,,
"Ewald, Johannes",Johannes Ewalds samlede skrifter,"Gyldendal, (Kbh.), (1969)",001601376:05,texts/ewald05val.xml,https://tekster.kb.dk/text/adl-texts-ewald05val-root,,,,
"Heiberg, Johan Ludvig",Poetiske Skrifter,", København, 1931-32",001848837:03,texts/heiberg_bind03.xml,https://tekster.kb.dk/text/adl-texts-heiberg_bind03-root,,,,
"Møller, Poul Martin",Skrifter i Udvalg,", København, 1930",001848831:01,texts/moeller01val.xml,https://tekster.kb.dk/text/adl-texts-moeller01val-root,,,,
"Wied, Gustav",Menneskenes Børn. Silhuetter. 1966,"Rosenkilde og Bagger, København, 1966-",001680948:02,texts/wied02val.xml,https://tekster.kb.dk/text/adl-texts-wied02val-root,,,,
"Oehlenschläger, Adam",Poetiske Skrifter V,", København, 1926-1930",001823141:05,,https://tekster.kb.dk/text/adl-texts--root,,,,
"Holberg, Ludvig",Værker i tolv bind, 1: Natur- og folkeret,"Rosenkilde og Bagger, [København], 1969-1971",001629300:11,texts/holb11val.xml,https://tekster.kb.dk/text/adl-texts-holb11val-root,,,
"Hertz, Henrik","Digte fra forskjellige Perioder, 1.-4. Deel.",", København, 1851-62.",002038239:09,texts/hertz09_lev.xml,https://tekster.kb.dk/text/adl-texts-hertz09_lev-root,,,,
"Heiberg, Johanne Luise",Et liv genoplevet i erindringen,"Gyldendal, [København], 1973-74.",001663554:04,texts/heibfr04.xml,https://tekster.kb.dk/text/adl-texts-heibfr04-root,,,,
", ",Den danske Mercurius / udg. af Paul Ries. - 1984,"Det Danske Sprog- og Litteraturselskab, København, 1984-86",001433218:03,texts/bord03tom.xml,https://tekster.kb.dk/text/adl-texts-bord03tom-root,,,,
"Hostrup, C.",Komedier og Digte,", København, 1954",002939768:01,texts/hostrup01.xml,https://tekster.kb.dk/text/adl-texts-hostrup01-root,,,,
"Kaalund, H. V.",Samlede Digte,", København, 1898",001867576:01,texts/kaalund01.xml,https://tekster.kb.dk/text/adl-texts-kaalund01-root,,,,
"Helgesen, Poul","Skrifter af Paulus Helie 5. Bind  / ved Marius
	  Kristensen. - 1935; Udgivet af Det Danske Sprog- og Litteraturselskab",", København, 1932-1948",001823114:05,texts/helgesen05.xml,https://tekster.kb.dk/text/adl-texts-helgesen05-root,,,,
"Larsen, Karl","De, der tog hjemmefra; 1: Den jydske Møllersøn Jens Storm Schmidt. Tækkemanden Hans Rasmussen fra Nordsjælland","Gyldendalske Boghandel. Nordisk Forlag, København, 1912-1914",002168583:12,texts/larsenk_12_a.xml,https://tekster.kb.dk/text/adl-texts-larsenk_12_a-root,,,,
"Bergsøe, Vilhelm",Fra Piazza del Popolo,"Det Danske Sprog- og Litteraturselskab, [København], [1988]",001463176:02,texts/bergsoev02.xml,https://tekster.kb.dk/text/adl-texts-bergsoev02-root,,,,
"Brandes, Georg",Samlede Skrifter,", København, 1899-1910",001823972:15,texts/brandes15tom.xml,https://tekster.kb.dk/text/adl-texts-brandes15tom-root,,,,
"Bergsøe, Vilhelm","Poetiske Skrifter, 1-7 - bind I",", København, 1905-",002314460:01,texts/berg01tom.xml,https://tekster.kb.dk/text/adl-texts-berg01tom-root,,,,
"Bang, Herman",Værker i Mindeudgave,"Gyldendal, København, 1920-1921",001823910:04,texts/bang04val.xml,https://tekster.kb.dk/text/adl-texts-bang04val-root,,,,
"Bergsøe, Vilhelm",Fra Piazza del Popolo,"Det Danske Sprog- og Litteraturselskab, [København], [1988]",001463177:01,texts/bergsoev01ny.xml,https://tekster.kb.dk/text/adl-texts-bergsoev01ny-root,,,,
"Jacobsen, J. P.","Samlede Værker
      I; Udg. paa Grundlag af Digterens efterladte Papirer af Morten Borup",", København, 1924-29",001823911:01,texts/jacob01val.xml,https://tekster.kb.dk/text/adl-texts-jacob01val-root,,,,
"Larsen, Karl",Set og tænkt under den store Krig,"Erslev & Hasselbalchs Forlag, København, 1915",001967777:19,texts/larsenk_19.xml,https://tekster.kb.dk/text/adl-texts-larsenk_19-root,,,,
"Nansen, Peter","Samlede
      Skrifter; Bd. 3: Noveller; Skitser; Dramatiske Smaating","Gyldendal, [København], 1908-09",004175732:03,texts/nansen03ny.xml,https://tekster.kb.dk/text/adl-texts-nansen03ny-root,,,,
"Drachmann, Holger",Samlede poetiske Skrifter,", Kbh. & Kristiania, 1906-1909",001823907:04,texts/drachmann04tom.xml,https://tekster.kb.dk/text/adl-texts-drachmann04tom-root,,,,
"Stub, Ambrosius",Digte,"Rosenkilde og Bagger, [København], 1972",001670222:02,texts/stub02val.xml,https://tekster.kb.dk/text/adl-texts-stub02val-root,,,,
"Claussen, Sophus",Sophus Claussens lyrik, Bd. 3: Djævlerier,"Det Danske Sprog- og Litteraturselskab ; Gyldendal, [København], 1982-",001383642:05,texts/claussen05val.xml,https://tekster.kb.dk/text/adl-texts-claussen05val-root,,,
"Oehlenschläger, Adam",Poetiske Skrifter I,", København, 1926-1930",001823141:01,texts/oehl01val.xml,https://tekster.kb.dk/text/adl-texts-oehl01val-root,,,,
"Heiberg, Johanne Luise", 2. og 3. Del : 1842-56,", København, 1944",001825908:06,texts/heibfr06val.xml,https://tekster.kb.dk/text/adl-texts-heibfr06val-root,,,,
